year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2012,Bahrain Grand Prix,HRT,7,24.859,1.5,0.0,0.0,12.0,0
2012,Spanish Grand Prix,Red Bull,7,20.566,-0.421,8.0,109.0,1.0,1
2012,Spanish Grand Prix,McLaren,5,20.645,-0.342,6.0,98.0,2.0,1
2012,Spanish Grand Prix,Lotus F1,6,20.604,-0.383,27.0,84.0,3.0,1
2012,Spanish Grand Prix,Ferrari,7,19.332,-1.655,18.0,63.0,4.0,1
2012,Spanish Grand Prix,Mercedes,4,20.218,-0.769,6.0,43.0,5.0,1
2012,Spanish Grand Prix,Williams,3,21.222,0.235,25.0,43.0,6.0,0
2012,Spanish Grand Prix,Sauber,6,22.567,1.58,10.0,41.0,7.0,0
2012,Spanish Grand Prix,Force India,6,20.521,-0.466,1.0,18.0,8.0,0
2012,Spanish Grand Prix,Toro Rosso,6,20.794,-0.193,0.0,6.0,9.0,0
2012,Spanish Grand Prix,Marussia,5,20.985,-0.002,0.0,0.0,10.0,0
2012,Spanish Grand Prix,Caterham,6,22.479,1.492,0.0,0.0,11.0,0
2012,Spanish Grand Prix,HRT,6,21.909,0.922,0.0,0.0,12.0,0
2012,Monaco Grand Prix,Red Bull,2,25.322,-1.288,37.0,146.0,1.0,1
2012,Monaco Grand Prix,McLaren,2,25.484,-1.125,10.0,108.0,2.0,1
2012,Monaco Grand Prix,Ferrari,2,25.106,-1.503,23.0,86.0,3.0,1
2012,Monaco Grand Prix,Lotus F1,1,26.38,-0.23,2.0,86.0,4.0,1
2012,Monaco Grand Prix,Mercedes,2,24.996,-1.614,18.0,61.0,5.0,1
2012,Monaco Grand Prix,Williams,1,26.41,-0.2,1.0,44.0,6.0,0
2012,Monaco Grand Prix,Sauber,3,24.578,-2.032,0.0,41.0,7.0,0
2012,Monaco Grand Prix,Force India,2,26.044,-0.566,10.0,28.0,8.0,0
2012,Monaco Grand Prix,Toro Rosso,3,25.852,-0.758,0.0,6.0,9.0,0
2012,Monaco Grand Prix,Caterham,3,32.25,5.64,0.0,0.0,10.0,0
2012,Monaco Grand Prix,Marussia,3,29.752,3.142,0.0,0.0,11.0,0
2012,Monaco Grand Prix,HRT,2,27.14,0.53,0.0,0.0,12.0,0
2012,Canadian Grand Prix,Red Bull,4,21.63,-0.341,18.0,164.0,1.0,1
2012,Canadian Grand Prix,McLaren,5,21.772,-0.199,25.0,133.0,2.0,1
2012,Canadian Grand Prix,Lotus F1,2,21.682,-0.289,22.0,108.0,3.0,1
2012,Canadian Grand Prix,Ferrari,3,21.125,-0.846,11.0,97.0,4.0,1
2012,Canadian Grand Prix,Mercedes,4,21.683,-0.288,8.0,69.0,5.0,1
2012,Canadian Grand Prix,Sauber,2,21.43,-0.541,17.0,58.0,6.0,0
2012,Canadian Grand Prix,Williams,2,22.742,0.771,0.0,44.0,7.0,0
2012,Canadian Grand Prix,Force India,4,22.867,0.896,0.0,28.0,8.0,0
2012,Canadian Grand Prix,Toro Rosso,5,20.666,-1.305,0.0,6.0,9.0,0
2012,Canadian Grand Prix,Caterham,4,21.682,-0.289,0.0,0.0,10.0,0
2012,Canadian Grand Prix,Marussia,2,24.406,2.435,0.0,0.0,11.0,0
2012,European Grand Prix,Red Bull,4,20.212,-2.06,12.0,176.0,1.0,1
2012,European Grand Prix,McLaren,4,22.58,0.308,4.0,137.0,2.0,1
2012,European Grand Prix,Lotus F1,4,21.661,-0.611,18.0,126.0,3.0,1
2012,European Grand Prix,Ferrari,6,23.441,1.169,25.0,122.0,4.0,1
2012,European Grand Prix,Mercedes,4,20.314,-1.958,23.0,92.0,5.0,1
2012,European Grand Prix,Sauber,4,22.682,0.41,2.0,60.0,6.0,0
